Classifier,TP-Rate,FP-Rate,Precision,Recall,F-Measure,MCC,ROC-Area,PRC-Area,Class
Naive-Bayes,0.050,0.030,0.469,0.050,0.091,0.050,0.621,0.442,>30
,0.817,0.629,0.601,0.817,0.692,0.211,0.669,0.700,NO
,0.410,0.210,0.202,0.410,0.271,0.151,0.660,0.217,<30
,0.503,0.372,0.509,0.503,0.435,0.148,0.651,0.555,WeightedAverage

Bayes-Network,0.029,0.021,0.430,0.029,0.055,0.027,0.625,0.442,>30
,0.594,0.353,0.661,0.594,0.626,0.241,0.675,0.705,NO
,0.692,0.468,0.161,0.692,0.261,0.143,0.662,0.209,<30
,0.409,0.250,0.523,0.409,0.385,0.155,0.656,0.557,WeightedAverage

Decision-Tree,0.341,0.259,0.413,0.341,0.373,0.086,0.541,0.382,>30
,0.602,0.451,0.608,0.602,0.605,0.151,0.583,0.593,NO
,0.261,0.170,0.166,0.261,0.203,0.075,0.543,0.126,<30
,0.472,0.352,0.489,0.472,0.478,0.120,0.564,0.466,WeightedAverage

Random-Forest,0.008,0.005,0.458,0.008,0.016,0.018,0.618,0.431,>30
,0.640,0.384,0.659,0.640,0.649,0.255,0.683,0.714,NO
,0.689,0.444,0.167,0.689,0.269,0.156,0.669,0.227,<30
,0.425,0.259,0.532,0.425,0.385,0.161,0.659,0.560,WeightedAverage

Adabost-Trees,0.408,0.307,0.416,0.408,0.412,0.102,0.585,0.412,>30
,0.655,0.496,0.605,0.655,0.629,0.160,0.619,0.654,NO
,0.151,0.067,0.227,0.151,0.181,0.101,0.602,0.175,<30
,0.511,0.381,0.496,0.511,0.502,0.133,0.605,0.515,WeightedAverage

MultilayerPerceptronClassifier-2,0.010,0.005,0.503,0.010,0.020,0.027,0.621,0.443,>30
,0.589,0.345,0.665,0.589,0.625,0.244,0.683,0.715,NO
,0.730,0.489,0.162,0.730,0.265,0.153,0.676,0.224,<30
,0.404,0.243,0.551,0.404,0.373,0.158,0.661,0.564,WeightedAverage

MultilayerPerceptronClassifier-4,0.028,0.014,0.524,0.028,0.053,0.051,0.605,0.423,>30
,0.576,0.334,0.667,0.576,0.618,0.242,0.682,0.714,NO
,0.716,0.491,0.159,0.716,0.260,0.143,0.670,0.222,<30
,0.401,0.240,0.559,0.401,0.380,0.164,0.654,0.556,WeightedAverage

MultilayerPerceptronClassifier-8,0.028,0.014,0.524,0.028,0.053,0.051,0.605,0.423,>30
,0.576,0.334,0.667,0.576,0.618,0.242,0.682,0.714,NO
,0.716,0.491,0.159,0.716,0.260,0.143,0.670,0.222,<30
,0.401,0.240,0.559,0.401,0.380,0.164,0.654,0.556,WeightedAverage

