Classifier,TP-Rate,FP-Rate,Precision,Recall,F-Measure,MCC,ROC-Area,PRC-Area,Class
Naive-Bayes,0.219,0.118,0.503,0.219,0.305,0.134,0.630,0.456,>30
,0.891,0.725,0.585,0.891,0.707,0.213,0.672,0.703,NO
,0.087,0.025,0.305,0.087,0.136,0.111,0.651,0.198,<30
,0.564,0.432,0.525,0.564,0.501,0.174,0.655,0.559,WeightedAverage

Bayes-Network,0.436,0.261,0.477,0.436,0.455,0.179,0.643,0.472,>30
,0.769,0.538,0.621,0.769,0.687,0.243,0.679,0.708,NO
,0.049,0.012,0.346,0.049,0.086,0.094,0.655,0.202,<30
,0.570,0.381,0.539,0.570,0.538,0.204,0.664,0.567,WeightedAverage

Decision-Tree,0.362,0.220,0.473,0.362,0.410,0.153,0.577,0.417,>30
,0.781,0.580,0.607,0.781,0.683,0.217,0.622,0.616,NO
,0.090,0.036,0.239,0.090,0.131,0.084,0.581,0.160,<30
,0.556,0.391,0.519,0.556,0.525,0.180,0.602,0.494,WeightedAverage

Random-Forest,0.281,0.138,0.526,0.281,0.366,0.174,0.652,0.480,>30
,0.896,0.711,0.591,0.896,0.712,0.235,0.692,0.720,NO
,0.007,0.001,0.643,0.007,0.014,0.060,0.669,0.224,<30
,0.579,0.429,0.574,0.579,0.511,0.194,0.675,0.580,WeightedAverage

Adabost-Trees,0.425,0.316,0.423,0.425,0.424,0.109,0.593,0.423,>30
,0.660,0.500,0.603,0.660,0.630,0.163,0.624,0.658,NO
,0.113,0.054,0.211,0.113,0.147,0.079,0.594,0.162,<30
,0.516,0.384,0.495,0.516,0.503,0.134,0.609,0.519,WeightedAverage

MultilayerPerceptronClassifier-2,0.372,0.200,0.504,0.372,0.428,0.187,0.650,0.473,>30
,0.842,0.622,0.608,0.842,0.706,0.250,0.691,0.717,NO
,0.000,0.000,0.000,0.000,0.000,0.000,0.640,0.195,<30
,0.581,0.403,0.503,0.581,0.528,0.200,0.670,0.572,WeightedAverage

MultilayerPerceptronClassifier-4,0.397,0.210,0.508,0.397,0.446,0.200,0.654,0.481,>30
,0.832,0.600,0.614,0.832,0.707,0.259,0.693,0.721,NO
,0.000,0.000,0.000,0.000,0.000,0.000,0.661,0.206,<30
,0.585,0.395,0.507,0.585,0.535,0.209,0.675,0.578,WeightedAverage

MultilayerPerceptronClassifier-8,0.409,0.234,0.489,0.409,0.446,0.184,0.641,0.469,>30
,0.805,0.588,0.611,0.805,0.695,0.237,0.680,0.707,NO
,0.000,0.000,0.000,0.000,0.000,0.000,0.659,0.203,<30
,0.575,0.397,0.499,0.575,0.528,0.191,0.664,0.566,WeightedAverage

